ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"MAHSCOOTER","EQ","17-Dec-2025","14,099.00","14,120.00","14,141.00","13,822.00","14,006.00","14,012.00","13,976.05","3,443","4,81,19,536.00","1,129","1,980","57.51"
"MAHSCOOTER","EQ","18-Dec-2025","14,012.00","14,039.00","14,155.00","13,870.00","13,905.00","13,978.00","14,040.87","1,647","2,31,25,306.00","862","841","51.06"
"MAHSCOOTER","EQ","19-Dec-2025","13,978.00","14,048.00","14,099.00","13,802.00","14,020.00","14,018.00","13,958.67","3,449","4,81,43,459.00","1,738","1,895","54.94"
"MAHSCOOTER","EQ","22-Dec-2025","14,018.00","14,015.00","14,349.00","14,015.00","14,137.00","14,234.00","14,226.22","4,111","5,84,83,974.00","1,889","2,191","53.30"
"MAHSCOOTER","EQ","23-Dec-2025","14,234.00","14,240.00","14,247.00","14,109.00","14,149.00","14,182.00","14,163.90","2,158","3,05,65,698.00","811","1,401","64.92"
"MAHSCOOTER","EQ","24-Dec-2025","14,182.00","14,150.00","14,244.00","14,011.00","14,068.00","14,113.00","14,147.32","2,674","3,78,29,941.00","1,209","1,551","58.00"
"MAHSCOOTER","EQ","26-Dec-2025","14,113.00","14,175.00","14,190.00","14,003.00","14,160.00","14,142.00","14,107.44","2,164","3,05,28,510.00","865","1,168","53.97"
"MAHSCOOTER","EQ","29-Dec-2025","14,142.00","14,100.00","14,234.00","14,100.00","14,176.00","14,161.00","14,145.07","2,155","3,04,82,626.00","783","1,242","57.63"
"MAHSCOOTER","EQ","30-Dec-2025","14,161.00","14,182.00","14,350.00","14,081.00","14,150.00","14,172.00","14,235.85","4,084","5,81,39,210.00","1,796","1,637","40.08"
"MAHSCOOTER","EQ","31-Dec-2025","14,172.00","14,239.00","14,299.00","14,150.00","14,199.00","14,223.00","14,221.58","1,823","2,59,25,941.00","763","982","53.87"
"MAHSCOOTER","EQ","01-Jan-2026","14,223.00","14,279.00","14,279.00","14,133.00","14,185.00","14,205.00","14,175.47","1,895","2,68,62,507.00","790","1,125","59.37"
"MAHSCOOTER","EQ","02-Jan-2026","14,205.00","14,239.00","14,297.00","14,184.00","14,226.00","14,237.00","14,240.20","1,209","1,72,16,401.00","632","653","54.01"
"MAHSCOOTER","EQ","05-Jan-2026","14,237.00","14,237.00","14,529.00","14,151.00","14,162.00","14,222.00","14,274.99","3,392","4,84,20,765.00","1,650","1,474","43.46"
"MAHSCOOTER","EQ","06-Jan-2026","14,222.00","14,222.00","14,336.00","14,151.00","14,151.00","14,181.00","14,229.15","2,461","3,50,17,928.00","1,323","1,297","52.70"
"MAHSCOOTER","EQ","07-Jan-2026","14,181.00","14,151.00","14,173.00","13,750.00","13,775.00","13,781.00","14,000.37","7,442","10,41,90,730.00","2,226","5,369","72.14"
"MAHSCOOTER","EQ","08-Jan-2026","13,781.00","13,790.00","14,176.00","13,590.00","13,696.00","13,725.00","13,874.95","6,894","9,56,53,932.00","2,843","3,206","46.50"
"MAHSCOOTER","EQ","09-Jan-2026","13,725.00","13,794.00","13,799.00","13,501.00","13,572.00","13,542.00","13,601.89","2,562","3,48,48,031.00","1,339","1,027","40.09"
"MAHSCOOTER","EQ","12-Jan-2026","13,542.00","13,216.00","13,441.00","12,672.00","12,900.00","12,952.00","12,890.37","17,234","22,21,52,645.00","8,251","4,623","26.82"
"MAHSCOOTER","EQ","13-Jan-2026","12,952.00","12,770.00","13,899.00","12,770.00","13,780.00","13,802.00","13,582.09","50,182","68,15,76,295.00","18,488","8,670","17.28"
"MAHSCOOTER","EQ","14-Jan-2026","13,802.00","13,802.00","14,585.00","13,642.00","14,160.00","14,300.00","14,149.07","27,313","38,64,53,622.00","8,934","5,294","19.38"
"MAHSCOOTER","EQ","16-Jan-2026","14,300.00","14,020.00","14,361.00","13,720.00","13,800.00","13,809.00","14,076.85","10,042","14,13,59,755.00","4,769","3,446","34.32"
"MAHSCOOTER","EQ","19-Jan-2026","13,809.00","13,800.00","13,809.00","13,520.00","13,685.00","13,647.00","13,630.95","3,048","4,15,47,131.00","1,161","959","31.46"
"MAHSCOOTER","EQ","20-Jan-2026","13,647.00","13,581.00","13,758.00","13,120.00","13,298.00","13,185.00","13,320.55","9,230","12,29,48,703.00","3,764","3,743","40.55"
"MAHSCOOTER","EQ","21-Jan-2026","13,185.00","13,250.00","13,431.00","13,119.00","13,225.00","13,262.00","13,265.40","12,279","16,28,85,789.00","4,191","5,249","42.75"
"MAHSCOOTER","EQ","22-Jan-2026","13,262.00","13,380.00","13,488.00","13,225.00","13,362.00","13,334.00","13,346.13","5,486","7,32,16,884.00","1,917","2,746","50.05"
"MAHSCOOTER","EQ","23-Jan-2026","13,334.00","13,448.00","13,449.00","13,050.00","13,100.00","13,101.00","13,263.09","2,500","3,31,57,728.00","1,445","1,195","47.80"
"MAHSCOOTER","EQ","27-Jan-2026","13,101.00","13,100.00","13,101.00","12,823.00","13,047.00","12,943.00","12,925.01","4,211","5,44,27,205.00","1,918","1,804","42.84"
"MAHSCOOTER","EQ","28-Jan-2026","12,943.00","12,943.00","13,331.00","12,943.00","13,330.00","13,279.00","13,232.38","5,956","7,88,12,061.00","1,900","2,627","44.11"
"MAHSCOOTER","EQ","29-Jan-2026","13,279.00","13,322.00","13,323.00","13,130.00","13,187.00","13,191.00","13,185.96","2,857","3,76,72,294.00","951","1,699","59.47"
"MAHSCOOTER","EQ","30-Jan-2026","13,191.00","13,283.00","13,543.00","13,055.00","13,476.00","13,439.00","13,379.16","4,448","5,95,10,511.00","1,399","2,029","45.62"
"MAHSCOOTER","EQ","01-Feb-2026","13,439.00","13,439.00","13,578.00","12,758.00","13,204.00","13,157.00","13,107.24","2,614","3,42,62,323.00","1,227","1,155","44.19"
"MAHSCOOTER","EQ","02-Feb-2026","13,157.00","13,124.00","13,249.00","12,829.00","13,146.00","13,190.00","13,021.90","3,689","4,80,37,797.00","1,845","1,930","52.32"
"MAHSCOOTER","EQ","03-Feb-2026","13,190.00","13,432.00","13,585.00","13,281.00","13,392.00","13,369.00","13,420.16","2,895","3,88,51,374.00","1,635","1,589","54.89"
"MAHSCOOTER","EQ","04-Feb-2026","13,369.00","13,500.00","13,538.00","13,282.00","13,421.00","13,451.00","13,447.53","2,333","3,13,73,076.00","1,045","899","38.53"
"MAHSCOOTER","EQ","05-Feb-2026","13,451.00","13,421.00","13,800.00","13,349.00","13,399.00","13,418.00","13,420.89","1,611","2,16,21,051.00","808","842","52.27"
"MAHSCOOTER","EQ","06-Feb-2026","13,418.00","13,418.00","13,599.00","13,250.00","13,566.00","13,567.00","13,447.43","2,187","2,94,09,521.00","1,017","1,096","50.11"
"MAHSCOOTER","EQ","09-Feb-2026","13,567.00","13,650.00","13,999.00","13,616.00","13,926.00","13,953.00","13,869.89","3,471","4,81,42,371.00","1,571","1,835","52.87"
"MAHSCOOTER","EQ","10-Feb-2026","13,953.00","13,970.00","14,139.00","13,838.00","13,900.00","13,882.00","14,007.91","2,825","3,95,72,337.00","1,027","1,497","52.99"
